"","QB","yd_10_segments","att","completions","cp"
"1","A.Dalton","10yd to 20yd",35,19,54.2857142857143
"2","A.Dalton","20yd to 30yd",5,1,20
"3","A.Dalton","30yd to 40yd",3,1,33.3333333333333
"4","A.Dalton","40yd to 50yd",1,1,100
"5","A.Dalton","Behind LOS",23,20,86.9565217391304
"6","A.Dalton","LOS to 10yd",86,56,65.1162790697674
"7","A.Rodgers","10yd to 20yd",63,36,57.1428571428571
"8","A.Rodgers","20yd to 30yd",30,14,46.6666666666667
"9","A.Rodgers","30yd to 40yd",20,7,35
"10","A.Rodgers","40yd to 50yd",10,2,20
"11","A.Rodgers","Behind LOS",78,65,83.3333333333333
"12","A.Rodgers","LOS to 10yd",204,152,74.5098039215686
"13","A.Rodgers","Over 50yd",2,0,0
"14","B.Mayfield","10yd to 20yd",74,35,47.2972972972973
"15","B.Mayfield","20yd to 30yd",37,17,45.945945945946
"16","B.Mayfield","30yd to 40yd",12,2,16.6666666666667
"17","B.Mayfield","40yd to 50yd",2,2,100
"18","B.Mayfield","Behind LOS",56,49,87.5
"19","B.Mayfield","LOS to 10yd",158,110,69.620253164557
"20","B.Mayfield","Over 50yd",3,1,33.3333333333333
"21","B.Roethlisberger","10yd to 20yd",83,44,53.0120481927711
"22","B.Roethlisberger","20yd to 30yd",34,8,23.5294117647059
"23","B.Roethlisberger","30yd to 40yd",15,8,53.3333333333333
"24","B.Roethlisberger","40yd to 50yd",4,2,50
"25","B.Roethlisberger","Behind LOS",76,63,82.8947368421053
"26","B.Roethlisberger","LOS to 10yd",241,172,71.3692946058091
"27","C.Henne","10yd to 20yd",5,2,40
"28","C.Henne","20yd to 30yd",1,0,0
"29","C.Henne","Behind LOS",1,1,100
"30","C.Henne","LOS to 10yd",9,8,88.8888888888889
"31","C.Keenum","10yd to 20yd",10,5,50
"32","C.Keenum","30yd to 40yd",1,0,0
"33","C.Keenum","40yd to 50yd",2,0,0
"34","C.Keenum","Behind LOS",11,11,100
"35","C.Keenum","LOS to 10yd",24,14,58.3333333333333
"36","C.McCoy","10yd to 20yd",17,10,58.8235294117647
"37","C.McCoy","20yd to 30yd",3,0,0
"38","C.McCoy","30yd to 40yd",2,2,100
"39","C.McCoy","Behind LOS",26,25,96.1538461538462
"40","C.McCoy","LOS to 10yd",42,31,73.8095238095238
"41","C.Newton","10yd to 20yd",15,8,53.3333333333333
"42","C.Newton","20yd to 30yd",3,2,66.6666666666667
"43","C.Newton","30yd to 40yd",2,1,50
"44","C.Newton","Behind LOS",11,8,72.7272727272727
"45","C.Newton","LOS to 10yd",44,25,56.8181818181818
"46","C.Rush","10yd to 20yd",9,5,55.5555555555556
"47","C.Rush","20yd to 30yd",6,3,50
"48","C.Rush","30yd to 40yd",1,0,0
"49","C.Rush","Behind LOS",3,3,100
"50","C.Rush","LOS to 10yd",24,16,66.6666666666667
"51","C.Wentz","10yd to 20yd",77,41,53.2467532467532
"52","C.Wentz","20yd to 30yd",25,12,48
"53","C.Wentz","30yd to 40yd",11,2,18.1818181818182
"54","C.Wentz","40yd to 50yd",7,2,28.5714285714286
"55","C.Wentz","Behind LOS",76,56,73.6842105263158
"56","C.Wentz","LOS to 10yd",220,150,68.1818181818182
"57","C.Wentz","Over 50yd",4,3,75
"58","D.Carr","10yd to 20yd",90,54,60
"59","D.Carr","20yd to 30yd",46,21,45.6521739130435
"60","D.Carr","30yd to 40yd",11,4,36.3636363636364
"61","D.Carr","40yd to 50yd",10,5,50
"62","D.Carr","Behind LOS",89,73,82.0224719101124
"63","D.Carr","LOS to 10yd",243,182,74.8971193415638
"64","D.Carr","Over 50yd",5,0,0
"65","D.Jones","10yd to 20yd",80,48,60
"66","D.Jones","20yd to 30yd",14,2,14.2857142857143
"67","D.Jones","30yd to 40yd",9,4,44.4444444444444
"68","D.Jones","40yd to 50yd",3,1,33.3333333333333
"69","D.Jones","Behind LOS",52,47,90.3846153846154
"70","D.Jones","LOS to 10yd",201,129,64.1791044776119
"71","D.Jones","Over 50yd",1,1,100
"72","D.Lock","10yd to 20yd",1,1,100
"73","D.Lock","20yd to 30yd",3,1,33.3333333333333
"74","D.Lock","40yd to 50yd",2,0,0
"75","D.Lock","Behind LOS",4,4,100
"76","D.Lock","LOS to 10yd",17,10,58.8235294117647
"77","D.Mills","10yd to 20yd",49,26,53.0612244897959
"78","D.Mills","20yd to 30yd",12,6,50
"79","D.Mills","30yd to 40yd",9,2,22.2222222222222
"80","D.Mills","40yd to 50yd",2,0,0
"81","D.Mills","Behind LOS",56,44,78.5714285714286
"82","D.Mills","LOS to 10yd",141,101,71.6312056737589
"83","D.Mills","Over 50yd",1,0,0
"84","D.Prescott","10yd to 20yd",94,47,50
"85","D.Prescott","20yd to 30yd",39,16,41.025641025641
"86","D.Prescott","30yd to 40yd",10,4,40
"87","D.Prescott","40yd to 50yd",4,1,25
"88","D.Prescott","Behind LOS",78,61,78.2051282051282
"89","D.Prescott","LOS to 10yd",228,180,78.9473684210526
"90","D.Prescott","Over 50yd",2,0,0
"91","G.Minshew","10yd to 20yd",4,2,50
"92","G.Minshew","20yd to 30yd",3,2,66.6666666666667
"93","G.Minshew","Behind LOS",10,8,80
"94","G.Minshew","LOS to 10yd",10,10,100
"95","G.Smith","10yd to 20yd",18,6,33.3333333333333
"96","G.Smith","20yd to 30yd",7,5,71.4285714285714
"97","G.Smith","30yd to 40yd",2,0,0
"98","G.Smith","Behind LOS",15,13,86.6666666666667
"99","G.Smith","LOS to 10yd",52,41,78.8461538461538
"100","J.Allen","10yd to 20yd",107,56,52.3364485981308
"101","J.Allen","20yd to 30yd",32,17,53.125
"102","J.Allen","30yd to 40yd",17,11,64.7058823529412
"103","J.Allen","40yd to 50yd",8,2,25
"104","J.Allen","Behind LOS",87,67,77.0114942528736
"105","J.Allen","LOS to 10yd",242,172,71.0743801652893
"106","J.Allen","Over 50yd",1,0,0
"107","J.Brissett","10yd to 20yd",39,18,46.1538461538462
"108","J.Brissett","20yd to 30yd",11,7,63.6363636363636
"109","J.Brissett","30yd to 40yd",5,0,0
"110","J.Brissett","40yd to 50yd",5,1,20
"111","J.Brissett","Behind LOS",33,26,78.7878787878788
"112","J.Brissett","LOS to 10yd",130,89,68.4615384615385
"113","J.Brissett","Over 50yd",1,0,0
