"","QB","posteam","week","air_yards","down","ydstogo","complete_pass","touchdown","interception","yards_gained","wp","epa","cpoe","game_seconds_remaining","half_seconds_remaining","Label","Label2","yd_10_segments"
"1","R.Tannehill","TEN",1,2,2,13,1,0,0,3,0.520599246025085,0.0324123562313616,18.1203782558441,3563,1763,"Average Play","Completion","LOS to 10yd"
"2","R.Tannehill","TEN",1,10,3,10,0,0,0,0,0.4983189702034,-1.53289766795933,-51.9576549530029,3522,1722,"Bad Play","Incompletion","10yd to 20yd"
"3","K.Murray","ARI",1,29,1,10,1,0,0,38,0.52243435382843,2.69289016060065,65.0551646947861,3507,1707,"Good Play","Completion","20yd to 30yd"
"4","K.Murray","ARI",1,-4,1,18,1,0,0,1,0.591982126235962,-0.511089987820014,11.1099421977997,3446,1646,"Average Play","Completion","Behind LOS"
"5","K.Murray","ARI",1,20,2,17,1,0,0,21,0.580619990825653,2.18201484833844,59.242308139801,3414,1614,"Good Play","Completion","20yd to 30yd"
"6","K.Murray","ARI",1,4,2,24,1,0,0,8,0.585753619670868,-0.214038721635006,16.4343595504761,3308,1508,"Average Play","Completion","LOS to 10yd"
"7","K.Murray","ARI",1,16,3,16,0,0,0,0,0.566265881061554,-0.211301869270509,-25.7444381713867,3269,1469,"Average Play","Incompletion","10yd to 20yd"
"8","K.Murray","ARI",1,5,1,5,0,0,0,0,0.658067941665649,-0.448300892603584,-41.7200893163681,3210,1410,"Average Play","Incompletion","LOS to 10yd"
"9","K.Murray","ARI",1,5,2,5,0,0,0,0,0.643122315406799,-0.881277125386987,-41.7415231466293,3206,1406,"Bad Play","Incompletion","LOS to 10yd"
"10","K.Murray","ARI",1,5,3,5,1,1,0,5,0.628078043460846,2.69188695400953,70.5802351236343,3198,1398,"Good Play","Touchdown","LOS to 10yd"
"11","R.Tannehill","TEN",1,-1,3,16,0,0,0,0,0.232682600617409,-1.11588760465384,-88.9914095401764,3119,1319,"Bad Play","Incompletion","Behind LOS"
"12","K.Murray","ARI",1,3,2,6,1,0,0,3,0.763111591339111,-0.376883017132059,24.0274131298065,3064,1264,"Average Play","Completion","LOS to 10yd"
"13","K.Murray","ARI",1,3,3,3,0,0,0,0,0.746092557907104,-1.6764212732669,-66.6743099689484,3029,1229,"Bad Play","Incompletion","LOS to 10yd"
"14","R.Tannehill","TEN",1,4,2,16,1,0,0,4,0.247996240854263,-0.472422538325191,21.368819475174,2974,1174,"Average Play","Completion","LOS to 10yd"
"15","R.Tannehill","TEN",1,3,3,12,1,0,0,8,0.232682600617409,-0.260466338600963,23.0782210826874,2929,1129,"Average Play","Completion","LOS to 10yd"
"16","K.Murray","ARI",1,10,2,12,1,0,0,10,0.72627067565918,0.790850034216419,36.4657163619995,2700,900,"Good Play","Completion","10yd to 20yd"
"17","K.Murray","ARI",1,-1,1,10,1,0,0,3,0.800508677959442,-0.18645564164035,13.7258410453796,2598,798,"Average Play","Completion","Behind LOS"
"18","K.Murray","ARI",1,4,2,5,1,1,0,17,0.824946403503418,2.45453682047082,25.2416551113129,2463,663,"Good Play","Touchdown","LOS to 10yd"
